£	pound
a.s.a.p	as soon as possible
abbrev	abbreviation
abd	aberdeen
aberd	aberdeen
aberdeensh	aberdeenshire
abl	ablative
abol	abolition
aborig	aboriginal
abp	archbishop
abr	abridged
abridg	abridged
abridgem	abridgement
absol	absolutely
abst	abstracts
abstr	abstracts
abvt	advertisement
acad	academic
acc	account
accomm	accommodation
accompl	accomplished
accs	accounts
acct	account
accts	accounts
accus	accusative
achievem	achievement
addit	addition
addr	address
adj	adjunct
adjs	adjectives
adm	admiralty
admin	administrative
admir	admiralty
admon	admonition
admonit	admonition
adv	advocate
advancem	advancement
advb	adverbially
advert	advertisement
advoc	advocate
advs	adverbs
advts	advertisements
aerodynam	aerodynamics
aeronaut	aeronautics
aff	affairs
afk	away from keyboard
afr	african
agric	agriculture
agst	against
alch	alchemy
alg	algebra
alleg	allegiance
allit	alliterative
alloc	allocation
alm	almanac
alph	alphabetical
alt	alternate
amer	american
analyt	analytical
anat	anatomy
anc	ancient
anecd	anecdotes
ang	anglian
angl	anglian
anglo-ind	anglo-indian
anim	animals
ann	annual
anniv	anniversary
annot	annotation
anon	anonymous
answ	answer
anthrop	anthropology
anthropol	anthropology
antiq	antiquity
aphet	aphetized
apoc	apocalyptical
apol	apology
appl	applied
applic	applications
appos	appositively
approx	approximately
apr	april
archaeol	archaeology
archipel	archipelago
archit	architecture
arg	argument
argt	argument
arith	arithmetic
arithm	arithmetical
arrangem	arrangement
artic	articulation
artific	artificial
artill	artillery
asap	as soon as possible
asap	as soon as possible
asc	ascending
ashm	ashmole
assemb	assembly
assoc	association
assyriol	assyriology
astr	astronomy
astrol	astrology
astron	astronomy
attrib	attributively
aug	august
austral	australian
auth	authors
autobiogr	autobiography
ave	avenue
avg	average
ayrsh	ayrshire
bacteriol	bacteriology
bedford	bedfordshire
bedfordsh	bedfordshire
bef	before
belg	belgian
berks	berkshire
berksh	berkshire
berw	berwickshire
berwicksh	berwickshire
betw	between
bibliogr	bibliography
biochem	biochemistry
biog	biography
biogr	biography
